,task,model,pattern,tot_score,%_score
327,numerals1,xglm_alt_one_2beam,P1|P2|NEG|N2,0,0.0
328,numerals1,xglm_alt_one_2beam,P1|P2|P3|NEG,0,0.0
329,numerals1,xglm_alt_one_2beam,P1|P2|P3|NEG|N1,0,0.0
330,numerals1,xglm_alt_one_2beam,P1|P2|P3|NEG|N1|N2,0,0.0
331,numerals1,xglm_alt_one_2beam,P1|P2|P3|NEG|N2,0,0.0
332,numerals1,xglm_one_1beam,P1|NEG,165,0.055
333,numerals1,xglm_one_1beam,P1|NEG|N1,160,0.05333333333333334
334,numerals1,xglm_one_1beam,P1|NEG|N1|N2,160,0.05333333333333334
335,numerals1,xglm_one_1beam,P1|NEG|N2,165,0.055
336,numerals1,xglm_one_1beam,P1|P2|NEG,0,0.0
337,numerals1,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
338,numerals1,xglm_one_1beam,P1|P2|NEG|N1|N2,0,0.0
339,numerals1,xglm_one_1beam,P1|P2|NEG|N2,0,0.0
340,numerals1,xglm_one_1beam,P1|P2|P3|NEG,0,0.0
341,numerals1,xglm_one_1beam,P1|P2|P3|NEG|N1,0,0.0
342,numerals1,xglm_one_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
343,numerals1,xglm_one_1beam,P1|P2|P3|NEG|N2,0,0.0
344,numerals1,xglm_one_2beam,P1|NEG,221,0.07366666666666667
345,numerals1,xglm_one_2beam,P1|NEG|N1,216,0.072
346,numerals1,xglm_one_2beam,P1|NEG|N1|N2,216,0.072
347,numerals1,xglm_one_2beam,P1|NEG|N2,221,0.07366666666666667
348,numerals1,xglm_one_2beam,P1|P2|NEG,0,0.0
349,numerals1,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
350,numerals1,xglm_one_2beam,P1|P2|NEG|N1|N2,0,0.0
351,numerals1,xglm_one_2beam,P1|P2|NEG|N2,0,0.0
352,numerals1,xglm_one_2beam,P1|P2|P3|NEG,0,0.0
353,numerals1,xglm_one_2beam,P1|P2|P3|NEG|N1,0,0.0
354,numerals1,xglm_one_2beam,P1|P2|P3|NEG|N1|N2,0,0.0
355,numerals1,xglm_one_2beam,P1|P2|P3|NEG|N2,0,0.0
356,numerals1,xglm_zero_1beam,P1|NEG,3,0.001
357,numerals1,xglm_zero_1beam,P1|NEG|N1,1,0.0003333333333333333
358,numerals1,xglm_zero_1beam,P1|NEG|N1|N2,1,0.0003333333333333333
359,numerals1,xglm_zero_1beam,P1|NEG|N2,1,0.0003333333333333333
360,numerals1,xglm_zero_1beam,P1|P2|NEG,0,0.0
361,numerals1,xglm_zero_1beam,P1|P2|NEG|N1,0,0.0
362,numerals1,xglm_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
363,numerals1,xglm_zero_1beam,P1|P2|NEG|N2,0,0.0
364,numerals1,xglm_zero_1beam,P1|P2|P3|NEG,0,0.0
365,numerals1,xglm_zero_1beam,P1|P2|P3|NEG|N1,0,0.0
366,numerals1,xglm_zero_1beam,P1|P2|P3|NEG|N1|N2,0,0.0
367,numerals1,xglm_zero_1beam,P1|P2|P3|NEG|N2,0,0.0
368,numerals1,xglm_zero_2beam,P1|NEG,3,0.001
369,numerals1,xglm_zero_2beam,P1|NEG|N1,1,0.0003333333333333333
